App_Name;Latest_Version;Last_Updated_Date
mewatch - Video | Movies | TV 17+;5.4.471;1 Feb 2024
CNA (Channel NewsAsia) 12+;4.4.0;6 Mar 2024
8world 4+;4.3.9;22 Feb 2024
BERITA Mediacorp 4+;2.2.7;12 Dec 2023
Berita Harian.sg 4+;9.2.8;11 Mar 2024
SEITHI Mediacorp 4+;2.2.8;30 Nov 2023
联合早报 Lianhe Zaobao 4+;6.9.0;6 Mar 2024
