Date;"App_Name;Latest_Version;Last_Updated_Date"
2023-10-13;"CNA (Channel NewsAsia) 12+;4.3.5;12 Oct 2023"
2023-10-12;"CNA (Channel NewsAsia) 12+;4.3.4;7 Sept 2023"
